rate,ok,received_mean,received_std,ratio,throughput_kbs,aborts,timeouts,n,ref_freq_hz,ref_freq_err_ppm,config,phase
5000,True,1000000.0,0.0,1.0,24.948279857593803,0,0,5,,,13d3a,coarse
10000,True,1000000.0,0.0,1.0,49.73920168908806,0,0,5,,,13d3a,coarse
20000,True,1000000.0,0.0,1.0,98.89257545940674,0,0,5,,,13d3a,coarse
50000,True,1000000.0,0.0,1.0,242.57536846927397,0,0,5,,,13d3a,coarse
100000,True,1000000.0,0.0,1.0,470.33808997035385,0,0,5,,,13d3a,coarse
200000,True,1000000.0,0.0,1.0,395.9990420697307,0,0,5,,,13d3a,coarse
500000,True,1000000.0,0.0,1.0,396.0069621699992,0,0,5,,,13d3a,coarse
1000000,True,1000000.0,0.0,1.0,396.00215418885705,0,0,5,,,13d3a,coarse
2000000,True,1000000.0,0.0,1.0,395.981985996569,0,0,5,,,13d3a,coarse
5000000,True,1000000.0,0.0,1.0,395.97931360923525,0,0,5,,,13d3a,coarse
10000000,True,1000000.0,0.0,1.0,395.97983929795913,0,0,5,,,13d3a,coarse
20000000,True,1000000.0,0.0,1.0,395.98487541742986,0,0,5,,,13d3a,coarse
50000000,True,1000000.0,0.0,1.0,395.9888669898591,0,0,5,,,13d3a,coarse
100000000,True,1000000.0,0.0,1.0,395.988040415895,0,0,5,,,13d3a,coarse
120000000,True,1000000.0,0.0,1.0,395.98892411232043,0,0,5,,,13d3a,coarse
