rate,ok,received_mean,received_std,ratio,throughput_kbs,aborts,timeouts,n,ref_freq_hz,ref_freq_err_ppm,config,phase
5000,True,1000000.0,0.0,1.0,0.0061486737650912225,0,0,5,,,1d,coarse
10000,True,1000000.0,0.0,1.0,0.012299139752545249,0,0,5,,,1d,coarse
20000,True,1000000.0,0.0,1.0,0.02460375537782048,0,0,5,,,1d,coarse
50000,True,1000000.0,0.0,1.0,0.06149278237133258,0,0,5,,,1d,coarse
100000,True,1000000.0,0.0,1.0,0.12294760453697748,0,0,5,,,1d,coarse
200000,True,1000000.0,0.0,1.0,0.24597719757404685,0,0,5,,,1d,coarse
500000,True,1000000.0,0.0,1.0,0.6215738852199235,0,0,5,,,1d,coarse
1000000,True,1000000.0,0.0,1.0,1.2255094934867294,0,0,5,,,1d,coarse
2000000,True,1000000.0,0.0,1.0,2.4500898804508586,0,0,5,,,1d,coarse
5000000,True,1000000.0,0.0,1.0,6.124910139257696,0,0,5,,,1d,coarse
10000000,False,4096.0,0.0,0.004096,11000000.0,5,0,5,,,1d,coarse
7071068,False,4096.0,0.0,0.004096,11000000.0,5,0,5,,,1d,binary
5946036,True,1000000.0,0.0,1.0,8.17081195661962,0,0,5,,,1d,binary
6484198,False,4096.0,0.0,0.004096,11000000.0,5,0,5,,,1d,binary
6209289,True,1000000.0,0.0,1.0,8.171215044779089,0,0,5,,,1d,binary
